Room,Month,RM ARR,RM NIGHTS,ROOM REV,ADR,,,,
201,January,6,12,"1,747.50",145.63,,,,
201,February,8,10,"1,459.84",145.98,,,,
201,March,14,20,"2,874.84",143.74,,,,
201,April,10,19,"3,225.00",169.74,,,,
201,May,9,19,"3,023.90",159.15,,,,
201,June,11,19,"2,977.43",156.71,,,,
201,July,12,20,"3,302.35",165.12,,,,
201,August,9,15,"2,556.20",170.41,,,,
201,September,15,23,"3,684.02",160.17,,,,
201,October,11,29,"4,903.93",169.1,,,,
201,November,17,25,"3,267.03",130.68,,,,
201,December,16,25,"3,921.03",156.84,,,,
202,January,2,4,676.8,169.2,,,,
202,February,7,10,"1,821.42",182.14,,,,
202,March,10,15,"2,122.61",141.51,,,,
202,April,10,16,"3,082.94",192.68,,,,
202,May,8,13,"2,681.00",206.23,,,,
202,June,10,15,"2,744.15",182.94,,,,
202,July,13,18,"3,220.19",178.9,,,,
202,August,8,16,"3,152.30",197.02,,,,
202,September,12,18,"3,357.50",186.53,,,,
202,October,14,18,"3,242.38",180.13,,,,
202,November,15,20,"3,111.30",155.57,,,,
202,December,16,24,"3,380.59",140.86,,,,
203,January,7,8,920.46,115.06,,,,
203,February,9,15,"2,134.12",142.27,,,,
203,March,13,18,"2,707.96",150.44,,,,
203,April,10,22,"3,142.93",142.86,,,,
203,May,10,20,"3,404.47",170.22,,,,
203,June,9,17,"2,465.07",145,,,,
203,July,11,16,"2,479.15",154.95,,,,
203,August,10,19,"3,182.21",167.48,,,,
203,September,14,26,"4,000.65",153.87,,,,
203,October,13,25,"4,019.08",160.76,,,,
203,November,12,26,"3,417.89",131.46,,,,
203,December,17,25,"2,983.27",119.33,,,,
204,January,3,4,733.3,183.33,,,,
204,February,6,10,"1,640.70",164.07,,,,
204,March,12,18,"3,010.90",167.27,,,,
204,April,11,18,"3,300.77",183.38,,,,
204,May,9,15,"2,940.22",196.01,,,,
204,June,8,11,"1,931.74",175.61,,,,
204,July,12,20,"3,096.84",154.84,,,,
204,August,13,20,"3,939.76",196.99,,,,
204,September,10,22,"4,633.67",210.62,,,,
204,October,13,20,"3,767.60",188.38,,,,
204,November,11,16,"3,126.87",195.43,,,,
204,December,13,19,"2,847.58",149.87,,,,
205,January,5,5,785.35,157.07,,,,
205,February,11,17,"2,472.31",145.43,,,,
205,March,11,18,"2,586.92",143.72,,,,
205,April,10,17,"2,253.51",132.56,,,,
205,May,15,19,"3,208.01",168.84,,,,
205,June,9,16,"2,566.30",160.39,,,,
205,July,10,16,"2,564.15",160.26,,,,
205,August,10,17,"2,492.92",146.64,,,,
205,September,11,27,"4,181.74",154.88,,,,
205,October,15,26,"4,595.64",176.76,,,,
205,November,17,20,"2,935.80",146.79,,,,
205,December,18,24,"3,319.66",138.32,,,,
206,January,1,1,78.19,78.19,,,,
206,February,6,10,"1,769.70",176.97,,,,
206,March,11,18,"2,646.32",147.02,,,,
206,April,10,17,"2,897.57",170.45,,,,
206,May,10,13,"2,810.91",216.22,,,,
206,June,7,13,"2,280.89",175.45,,,,
206,July,13,20,"3,367.41",168.37,,,,
206,August,9,16,"3,102.34",193.9,,,,
206,September,13,19,"3,608.50",189.92,,,,
206,October,11,17,"3,222.61",189.57,,,,
206,November,11,14,"2,363.78",168.84,,,,
206,December,11,15,"2,266.87",151.12,,,,
207,January,5,6,795,132.5,,,,
